Category: All categories

Week,Python: (Chile)
2018-11-18,52
2018-11-25,49
2018-12-02,47
2018-12-09,43
2018-12-16,36
2018-12-23,29
2018-12-30,30
2019-01-06,41
2019-01-13,39
2019-01-20,35
2019-01-27,35
2019-02-03,29
2019-02-10,26
2019-02-17,31
2019-02-24,28
2019-03-03,35
2019-03-10,42
2019-03-17,46
2019-03-24,56
2019-03-31,56
2019-04-07,62
2019-04-14,60
2019-04-21,61
2019-04-28,60
2019-05-05,61
2019-05-12,61
2019-05-19,55
2019-05-26,52
2019-06-02,56
2019-06-09,58
2019-06-16,63
2019-06-23,53
2019-06-30,50
2019-07-07,55
2019-07-14,49
2019-07-21,43
2019-07-28,42
2019-08-04,50
2019-08-11,60
2019-08-18,61
2019-08-25,60
2019-09-01,65
2019-09-08,62
2019-09-15,36
2019-09-22,57
2019-09-29,57
2019-10-06,60
2019-10-13,55
2019-10-20,36
2019-10-27,34
2019-11-03,41
2019-11-10,43
2019-11-17,43
2019-11-24,42
2019-12-01,45
2019-12-08,44
2019-12-15,44
2019-12-22,36
2019-12-29,34
2020-01-05,46
2020-01-12,46
2020-01-19,44
2020-01-26,44
2020-02-02,42
2020-02-09,31
2020-02-16,36
2020-02-23,37
2020-03-01,44
2020-03-08,47
2020-03-15,46
2020-03-22,49
2020-03-29,50
2020-04-05,52
2020-04-12,61
2020-04-19,63
2020-04-26,64
2020-05-03,66
2020-05-10,62
2020-05-17,60
2020-05-24,60
2020-05-31,63
2020-06-07,71
2020-06-14,64
2020-06-21,62
2020-06-28,64
2020-07-05,55
2020-07-12,61
2020-07-19,55
2020-07-26,50
2020-08-02,49
2020-08-09,49
2020-08-16,51
2020-08-23,57
2020-08-30,50
2020-09-06,54
2020-09-13,51
2020-09-20,51
2020-09-27,49
2020-10-04,48
2020-10-11,39
2020-10-18,36
2020-10-25,41
2020-11-01,45
2020-11-08,43
2020-11-15,40
2020-11-22,39
2020-11-29,42
2020-12-06,36
2020-12-13,39
2020-12-20,29
2020-12-27,29
2021-01-03,34
2021-01-10,35
2021-01-17,33
2021-01-24,30
2021-01-31,29
2021-02-07,27
2021-02-14,25
2021-02-21,29
2021-02-28,30
2021-03-07,32
2021-03-14,35
2021-03-21,35
2021-03-28,36
2021-04-04,42
2021-04-11,46
2021-04-18,47
2021-04-25,47
2021-05-02,43
2021-05-09,46
2021-05-16,39
2021-05-23,44
2021-05-30,46
2021-06-06,46
2021-06-13,46
2021-06-20,48
2021-06-27,44
2021-07-04,47
2021-07-11,44
2021-07-18,39
2021-07-25,41
2021-08-01,35
2021-08-08,35
2021-08-15,38
2021-08-22,33
2021-08-29,47
2021-09-05,44
2021-09-12,38
2021-09-19,47
2021-09-26,48
2021-10-03,44
2021-10-10,45
2021-10-17,44
2021-10-24,44
2021-10-31,44
2021-11-07,49
2021-11-14,49
2021-11-21,46
2021-11-28,47
2021-12-05,47
2021-12-12,44
2021-12-19,41
2021-12-26,40
2022-01-02,56
2022-01-09,59
2022-01-16,49
2022-01-23,54
2022-01-30,42
2022-02-06,47
2022-02-13,50
2022-02-20,48
2022-02-27,52
2022-03-06,53
2022-03-13,61
2022-03-20,78
2022-03-27,85
2022-04-03,89
2022-04-10,82
2022-04-17,95
2022-04-24,99
2022-05-01,98
2022-05-08,100
2022-05-15,86
2022-05-22,89
2022-05-29,84
2022-06-05,93
2022-06-12,95
2022-06-19,92
2022-06-26,83
2022-07-03,79
2022-07-10,81
2022-07-17,67
2022-07-24,61
2022-07-31,58
2022-08-07,60
2022-08-14,71
2022-08-21,86
2022-08-28,84
2022-09-04,82
2022-09-11,77
2022-09-18,77
2022-09-25,92
2022-10-02,77
2022-10-09,80
2022-10-16,93
2022-10-23,86
2022-10-30,67
2022-11-06,83
2022-11-13,91
2022-11-20,77
2022-11-27,83
2022-12-04,75
2022-12-11,81
2022-12-18,63
2022-12-25,62
2023-01-01,60
2023-01-08,65
2023-01-15,65
2023-01-22,66
2023-01-29,52
2023-02-05,57
2023-02-12,57
2023-02-19,53
2023-02-26,48
2023-03-05,56
2023-03-12,71
2023-03-19,84
2023-03-26,81
2023-04-02,72
2023-04-09,79
2023-04-16,83
2023-04-23,80
2023-04-30,72
2023-05-07,81
2023-05-14,81
2023-05-21,80
2023-05-28,71
2023-06-04,80
2023-06-11,77
2023-06-18,71
2023-06-25,63
2023-07-02,72
2023-07-09,74
2023-07-16,61
2023-07-23,55
2023-07-30,51
2023-08-06,61
2023-08-13,59
2023-08-20,67
2023-08-27,75
2023-09-03,72
2023-09-10,60
2023-09-17,55
2023-09-24,74
2023-10-01,70
2023-10-08,60
2023-10-15,71
2023-10-22,61
2023-10-29,61
2023-11-05,60
2023-11-12,67
